Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Иван, 791371469, /start
 Yana, 245367301, /time
 Yana, 245367301, /help
 Юрий, 288942896, /start
 Виктория, 1199618809, /start
 Виктория, 1199618809, /start
 Виктория, 1199618809, /time
 Yana, 245367301, /help
 Иван, 791371469, /help
 Yana, 245367301, /time
 Yana, 245367301, /time
 Yana, 245367301, /time
 Yana, 245367301, /time
 